,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
34,Srednekolymsk,32.0,RU,1524620176,57.0,67.46,153.71,43.05,5.3
35,Pulaski,90.0,US,1524618900,82.0,35.2,-87.03,60.8,8.05
36,Mehamn,12.0,NO,1524620176,93.0,71.03,27.85,32.61,7.25
37,Victoria,20.0,SC,1524614400,94.0,-4.62,55.45,78.8,3.36
38,Chokurdakh,0.0,RU,1524620177,100.0,70.62,147.9,15.33,13.91
39,Kodiak,75.0,US,1524617580,52.0,39.95,-94.76,64.4,29.97
40,Araouane,8.0,ML,1524620177,24.0,18.9,-3.53,78.06,10.89
41,Ishigaki,75.0,JP,1524614400,83.0,24.34,124.16,71.6,11.41
42,Punta Arenas,75.0,CL,1524618000,81.0,-53.16,-70.91,44.6,6.93
43,Saint-Augustin,75.0,CA,1524618000,39.0,45.63,-73.98,64.4,4.7
44,Palmer,90.0,US,1524617760,94.0,61.6,-149.11,50.0,36.91
45,Saint-Philippe,90.0,RE,1524618000,100.0,-21.36,55.77,75.2,6.93
46,Umm Lajj,0.0,SA,1524620178,100.0,25.02,37.27,64.11,4.23
47,Porto Novo,40.0,CV,1524614400,73.0,17.02,-25.06,69.8,18.34
48,Isangel,80.0,VU,1524620178,97.0,-19.55,169.27,80.04,12.28
49,Vaini,40.0,TO,1524614400,66.0,-21.2,-175.2,84.2,5.82
50,Yellowknife,20.0,CA,1524618000,60.0,62.45,-114.38,41.0,14.99
51,Sobolevo,92.0,RU,1524620179,90.0,54.43,31.9,40.26,7.54
52,Kaitangata,24.0,NZ,1524620179,64.0,-46.28,169.85,61.05,11.16
53,Heishan,0.0,CN,1524620179,37.0,41.69,122.12,75.0,11.45
54,Norman Wells,40.0,CA,1524618000,56.0,65.28,-126.83,41.0,10.29
55,Severo-Kurilsk,0.0,RU,1524620179,92.0,50.68,156.12,35.04,6.87
56,Maniitsoq,80.0,GL,1524620180,93.0,65.42,-52.9,21.72,7.31
57,East London,92.0,ZA,1524619978,100.0,-33.02,27.91,70.5,12.84
58,Natal,0.0,BR,1524618000,83.0,-5.81,-35.21,77.0,5.82
59,Dosso,0.0,NE,1524620180,52.0,13.05,3.19,73.56,4.56
60,Santa Vitoria do Palmar,92.0,BR,1524619909,96.0,-33.52,-53.37,69.96,13.58
61,Tuatapere,12.0,NZ,1524620180,84.0,-46.13,167.69,58.71,18.43
62,Vallenar,24.0,CL,1524620180,65.0,-28.58,-70.76,53.22,3.4
63,Voh,92.0,NC,1524620180,100.0,-20.95,164.69,75.36,12.35
64,Buraydah,20.0,SA,1524614400,88.0,26.33,43.97,68.0,3.36
65,Antalaha,20.0,MG,1524619884,98.0,-14.9,50.28,73.2,9.93
66,Lebu,0.0,CL,1524620181,100.0,-37.62,-73.65,52.32,7.09
67,Rovaniemi,75.0,FI,1524619200,98.0,66.5,25.72,33.8,12.75
68,Belmonte,0.0,BR,1524620181,87.0,-26.84,-53.58,67.71,2.51
69,Sechura,0.0,PE,1524620181,79.0,-5.56,-80.82,71.13,9.33
70,Lodja,56.0,CD,1524620003,95.0,-3.52,23.6,71.4,2.51
71,Svetlaya,0.0,RU,1524619947,70.0,46.54,138.33,46.38,9.04
72,Sao Gabriel da Cachoeira,92.0,BR,1524620182,98.0,-0.13,-67.09,75.0,1.72
73,Tayu,36.0,ID,1524620182,94.0,-6.54,111.05,84.54,3.22
74,Udachnyy,0.0,RU,1524620182,60.0,66.42,112.4,22.8,5.01
75,Dunedin,0.0,NZ,1524619919,65.0,-45.87,170.5,57.99,3.85
76,Hilo,90.0,US,1524618960,69.0,19.71,-155.08,78.8,14.99
77,Nikolskoye,75.0,RU,1524614400,87.0,59.7,30.79,42.8,4.47
78,Quatre Cocos,40.0,MU,1524618000,88.0,-20.21,57.76,75.2,3.36
79,Provideniya,90.0,RU,1524614400,69.0,64.42,-173.23,35.6,15.66
80,Skagen,32.0,DK,1524620183,97.0,57.72,10.58,44.04,20.33
81,Naze,75.0,JP,1524614400,88.0,28.37,129.48,69.8,6.93
82,Takaka,0.0,NZ,1524620183,73.0,-40.86,172.81,62.04,4.0
83,New Norfolk,40.0,AU,1524614400,52.0,-42.78,147.06,64.4,9.17
84,Haapiti,40.0,PF,1524614400,83.0,-17.57,-149.87,80.6,12.75
85,Jamestown,92.0,SH,1524619971,100.0,-15.94,-5.72,75.0,23.98
86,Saint George,75.0,BM,1524617700,59.0,32.38,-64.68,66.2,16.11
87,Iqaluit,5.0,CA,1524614400,70.0,63.75,-68.52,1.4,10.29
88,Cherskiy,0.0,RU,1524620184,76.0,68.75,161.3,32.07,2.39
89,Barrow,1.0,US,1524618900,38.0,39.51,-90.4,66.2,5.82
90,Mandawar,0.0,IN,1524620184,37.0,29.49,78.13,82.29,4.52
91,Walvis Bay,8.0,NA,1524620185,100.0,-22.95,14.51,61.86,7.31
92,Port Alfred,92.0,ZA,1524620185,100.0,-33.59,26.89,63.84,0.27
93,Geraldton,0.0,AU,1524614400,55.0,-28.77,114.6,62.6,13.87
94,Tiquisio,88.0,CO,1524620185,100.0,8.56,-74.26,72.21,0.87
95,Puerto Ayora,75.0,EC,1524614400,83.0,-0.74,-90.35,78.8,10.29
96,Santa Rosa,56.0,BO,1524620185,97.0,-20.7,-64.83,53.04,1.28
97,Tautira,40.0,PF,1524614400,83.0,-17.73,-149.15,80.6,12.75
98,Husavik,90.0,IS,1524618000,100.0,66.04,-17.34,32.0,8.05
99,Ponta Delgada,20.0,PT,1524618000,87.0,37.73,-25.67,57.2,2.24
100,Bathsheba,40.0,BB,1524618000,83.0,13.22,-59.52,77.0,11.41
101,Kibungo,40.0,RW,1524618000,93.0,-2.14,30.55,62.6,3.36
102,Sao Miguel do Araguaia,0.0,BR,1524620186,86.0,-13.28,-50.16,74.01,2.77
103,Namie,75.0,JP,1524617160,100.0,37.52,140.86,51.8,2.24
104,Avarua,75.0,CK,1524614400,83.0,-21.21,-159.78,78.8,5.82
105,Okahandja,0.0,NA,1524620187,63.0,-21.98,16.91,47.64,3.85
106,Tuktoyaktuk,20.0,CA,1524618000,73.0,69.44,-133.03,24.8,17.22
107,Klaksvik,100.0,FO,1524619200,100.0,62.23,-6.59,39.2,9.17
108,Narsaq,75.0,GL,1524617400,74.0,60.91,-46.05,32.0,5.82
109,Takoradi,48.0,GH,1524620187,99.0,4.89,-1.75,80.13,7.65
110,Nuevo Casas Grandes,24.0,MX,1524620187,15.0,30.42,-107.91,66.0,9.93
111,Tarimbaro,75.0,MX,1524617580,41.0,19.78,-101.13,77.0,8.05
112,Vao,92.0,NC,1524620188,100.0,-22.67,167.48,71.94,6.24
113,Saskylakh,24.0,RU,1524620188,93.0,71.97,114.09,12.0,7.54
114,Lakhdenpokhya,92.0,RU,1524620188,94.0,61.52,30.2,35.4,6.76
115,Dongsheng,92.0,CN,1524620188,82.0,29.72,112.52,67.8,8.1
116,Nome,1.0,US,1524618900,60.0,30.04,-94.42,75.2,6.42
117,Kavaratti,0.0,IN,1524620188,100.0,10.57,72.64,85.44,8.81
118,Krasnokamensk,0.0,RU,1524620189,34.0,50.1,118.04,71.13,9.44
119,Dikson,76.0,RU,1524620189,100.0,73.51,80.55,18.48,7.65
120,Mizan Teferi,8.0,ET,1524619920,95.0,6.99,35.58,58.53,3.11
121,Stornoway,76.0,GB,1524619200,93.0,58.21,-6.39,39.2,5.82
122,Nanortalik,56.0,GL,1524620189,100.0,60.14,-45.24,30.0,16.31
123,San Cristobal,100.0,EC,1524620189,100.0,-1.02,-79.44,61.86,1.88
124,Qaanaaq,32.0,GL,1524620190,81.0,77.48,-69.36,11.28,3.29
125,Karratha,80.0,AU,1524620190,43.0,-20.74,116.85,88.86,4.56
126,Bethel,90.0,US,1524618120,93.0,60.79,-161.76,37.4,27.51
127,Sorong,64.0,ID,1524620190,100.0,-0.86,131.25,79.95,9.78
128,Seydi,8.0,TM,1524620190,86.0,39.48,62.91,58.26,5.64
129,Angoche,92.0,MZ,1524620190,100.0,-16.23,39.91,81.84,15.82
130,Nieuw Amsterdam,75.0,SR,1524618000,94.0,5.88,-55.08,77.0,5.82
131,Carnarvon,88.0,AU,1524620191,81.0,-24.87,113.63,74.91,19.95
132,Biak,100.0,ID,1524620191,100.0,-0.91,122.88,78.42,4.79
133,Atar,44.0,MR,1524620191,37.0,20.52,-13.05,66.72,8.14
134,Lao Cai,92.0,VN,1524620191,100.0,22.48,103.95,66.36,1.88
135,Hobart,40.0,AU,1524614400,52.0,-42.88,147.33,64.4,9.17
136,Kharp,0.0,RU,1524620191,58.0,66.82,65.8,8.58,2.33
137,Hvide Sande,92.0,DK,1524619200,93.0,56.01,8.13,44.6,2.24
138,Hanna,0.0,CA,1524620192,43.0,51.64,-111.93,55.38,5.08
139,Muros,90.0,ES,1524618000,93.0,42.77,-9.06,51.8,6.93
140,Wewak,64.0,PG,1524620192,84.0,-3.55,143.63,83.01,0.76
141,Acapulco,75.0,MX,1524616920,88.0,16.86,-99.88,80.6,6.93
142,Albany,56.0,AU,1524620192,84.0,-35.02,117.88,63.66,4.85
143,Khatanga,32.0,RU,1524620193,86.0,71.98,102.47,15.33,13.06
144,Kabompo,0.0,ZM,1524620193,67.0,-13.6,24.21,62.04,10.56
145,Zyryanovsk,56.0,KZ,1524620193,65.0,49.74,84.27,61.95,2.77
146,Port Elizabeth,0.0,ZA,1524618000,93.0,-33.92,25.57,51.8,4.7
147,Upernavik,88.0,GL,1524620193,95.0,72.79,-56.15,25.14,5.41
148,Constitucion,90.0,MX,1524617160,13.0,23.99,-104.67,80.6,8.05
149,Sept-Iles,90.0,CA,1524618000,74.0,50.2,-66.38,35.6,3.36
150,Arraial do Cabo,20.0,BR,1524618000,94.0,-22.97,-42.02,73.4,4.7
151,Kalmunai,0.0,LK,1524620194,78.0,7.42,81.82,83.91,4.41
152,Mar del Plata,8.0,AR,1524620194,75.0,-46.43,-67.52,46.83,8.25
153,Morros,20.0,BR,1524618000,88.0,-2.87,-44.04,78.8,6.93
154,Piacabucu,92.0,BR,1524620194,84.0,-10.41,-36.43,77.34,7.92
155,Shelburne,90.0,CA,1524618000,93.0,44.08,-80.2,55.4,3.36
156,Auki,92.0,SB,1524620194,100.0,-8.77,160.7,81.48,4.12
157,Moose Factory,90.0,CA,1524618000,80.0,51.26,-80.61,33.8,5.82
158,Labuhan,92.0,ID,1524620195,90.0,-2.54,115.51,79.05,2.55
159,Gizo,88.0,SB,1524620195,100.0,-8.1,156.84,81.66,17.31
160,Cape Town,0.0,ZA,1524618000,82.0,-33.93,18.42,57.2,5.82
161,Taoudenni,64.0,ML,1524620195,23.0,22.68,-3.98,71.49,10.94
162,Akhtubinsk,92.0,RU,1524620195,73.0,48.29,46.17,43.68,6.24
163,Cabo San Lucas,75.0,MX,1524616980,22.0,22.89,-109.91,86.0,11.41
164,Aljezur,0.0,PT,1524620196,94.0,37.31,-8.8,60.24,20.67
165,Hawera,0.0,NZ,1524619927,94.0,-39.59,174.28,60.69,15.7
166,Castro,68.0,CL,1524620196,100.0,-42.48,-73.76,41.61,4.12
167,Kurilsk,76.0,RU,1524619945,81.0,45.23,147.88,40.89,9.37
168,Hauterive,75.0,CA,1524618000,83.0,49.18,-68.27,55.4,5.82
169,Luderitz,44.0,NA,1524620196,96.0,-26.65,15.16,55.2,4.23
170,Saldanha,44.0,ZA,1524618000,87.0,-33.01,17.94,51.8,3.51
171,Aden,8.0,YE,1524620196,98.0,12.79,45.03,83.46,13.18
172,Touros,92.0,BR,1524620197,100.0,-5.2,-35.46,75.36,7.54
173,Kholtoson,0.0,RU,1524620197,76.0,50.3,103.31,50.88,3.4
174,Rio Grande,88.0,BR,1524620197,97.0,-32.03,-52.1,72.57,9.26
175,Guerrero Negro,8.0,MX,1524619919,80.0,27.97,-114.04,61.68,9.82
176,Nisia Floresta,0.0,BR,1524618000,83.0,-6.09,-35.21,77.0,5.82
177,Hithadhoo,92.0,MV,1524620197,100.0,-0.6,73.08,85.26,15.64
178,Kiunga,44.0,PG,1524620197,82.0,-6.12,141.3,83.46,2.84
179,Leh,20.0,IN,1524620198,86.0,34.16,77.58,1.02,0.83
180,Manicore,92.0,BR,1524620198,99.0,-5.81,-61.3,72.03,3.78
181,Chuy,92.0,UY,1524620174,96.0,-33.69,-53.46,69.96,13.58
182,Berlevag,24.0,NO,1524620198,100.0,70.86,29.09,33.69,9.1
183,Mecca,0.0,SA,1524614400,42.0,21.43,39.83,80.6,2.62
184,Timizart,88.0,DZ,1524620198,75.0,36.8,4.25,62.22,1.21
185,Port Lincoln,44.0,AU,1524620198,85.0,-34.72,135.86,66.63,12.39
186,Bandiagara,0.0,ML,1524614400,38.0,14.35,-3.61,87.8,3.29
187,Guymon,90.0,US,1524618900,70.0,36.68,-101.48,48.2,19.46
188,Lompoc,8.0,US,1524617880,76.0,34.64,-120.46,60.8,11.41
189,Tasiilaq,32.0,GL,1524617400,79.0,65.61,-37.64,26.6,1.12
190,Pokhara,88.0,NP,1524620199,56.0,28.21,83.99,66.9,2.55
191,Necochea,80.0,AR,1524620199,90.0,-38.55,-58.74,58.8,11.34
192,Samarai,64.0,PG,1524619915,100.0,-10.62,150.67,82.38,9.89
193,Faanui,32.0,PF,1524620200,100.0,-16.48,-151.75,80.76,8.37
194,Leua,0.0,AO,1524620200,81.0,-11.65,20.45,59.16,2.28
195,Buenos Aires,56.0,CR,1524620200,100.0,9.17,-83.33,72.66,0.98
196,Clinton,1.0,US,1524618900,45.0,41.84,-90.19,69.8,3.36
197,Khandbari,48.0,NP,1524620200,73.0,27.38,87.21,40.8,0.27
198,Ternate,80.0,ID,1524620200,100.0,0.8,127.4,78.96,4.29
199,Mahebourg,40.0,MU,1524618000,88.0,-20.41,57.7,75.2,3.36
200,Sabzevar,0.0,IR,1524620201,88.0,36.21,57.68,47.64,5.12
201,Palestine,1.0,US,1524618900,60.0,31.76,-95.63,71.6,3.36
202,Nuevitas,40.0,CU,1524617460,78.0,21.55,-77.27,73.4,5.82
203,Tucupita,20.0,VE,1524620201,76.0,9.06,-62.05,79.23,8.59
204,Kungurtug,0.0,RU,1524620201,48.0,50.6,97.53,52.41,0.54
205,Predivinsk,76.0,RU,1524620202,80.0,57.07,93.44,46.11,7.14
206,Maputo,0.0,MZ,1524619951,88.0,-25.97,32.57,61.77,2.77
207,Katsuura,75.0,JP,1524614880,63.0,33.93,134.5,64.4,17.22
208,Adrar,0.0,DZ,1524618000,18.0,27.87,-0.29,73.4,10.29
209,Esperance,24.0,AU,1524620202,64.0,-33.86,121.89,67.44,4.34
210,Liaocheng,8.0,CN,1524620202,59.0,36.44,115.96,71.49,4.52
211,Gazanjyk,76.0,TM,1524620202,97.0,39.24,55.52,51.15,3.78
212,Wahiawa,90.0,US,1524617820,74.0,21.5,-158.02,80.6,14.99
213,Nhulunbuy,40.0,AU,1524614400,51.0,-12.18,136.78,86.0,12.75
214,Kaeo,32.0,NZ,1524620203,56.0,-35.1,173.78,66.81,9.1
215,Torbay,20.0,CA,1524618000,60.0,47.66,-52.73,39.2,20.8
216,Lima,88.0,PE,1524620040,71.0,-12.06,-77.04,63.39,1.72
217,Camacha,75.0,PT,1524618000,77.0,33.08,-16.33,60.8,19.46
218,Bud,90.0,NO,1524619200,75.0,62.91,6.91,41.0,20.8
219,Eureka,1.0,US,1524618900,82.0,40.8,-124.16,55.4,9.17
220,Port Hueneme,75.0,US,1524618360,82.0,34.15,-119.2,77.0,9.17
221,Najran,75.0,SA,1524614400,78.0,17.54,44.22,71.6,6.93
222,Nicolas Bravo,90.0,MX,1524617160,13.0,24.39,-104.74,80.6,8.05
223,Gornyy,0.0,RU,1524620204,77.0,51.76,48.54,33.69,3.51
224,Challapata,0.0,BO,1524620204,83.0,-18.9,-66.78,27.57,2.84
225,Tromso,75.0,NO,1524619200,93.0,69.65,18.96,35.6,1.83
226,San Isidro,0.0,NI,1524620204,63.0,12.93,-86.19,75.63,6.91
227,Alexandria,40.0,EG,1524618000,63.0,31.2,29.89,64.4,6.93
228,Chapais,90.0,CA,1524618000,56.0,49.78,-74.86,44.6,4.7
229,Ruidoso,1.0,US,1524617880,32.0,33.33,-105.67,87.8,13.87
230,Skeldon,76.0,GY,1524620205,100.0,5.88,-57.13,76.8,7.09
231,Ahipara,0.0,NZ,1524619946,77.0,-35.17,173.16,65.55,9.37
232,Muborak,0.0,UZ,1524620205,65.0,39.25,65.15,60.78,4.56
233,Roma,0.0,AU,1524620205,46.0,-26.57,148.79,74.91,8.1
234,Tukums,90.0,LV,1524615600,93.0,56.97,23.17,46.4,8.05
235,Road Town,1.0,VG,1524617580,78.0,18.42,-64.62,78.8,9.17
236,Yakovlevo,75.0,RU,1524616200,66.0,50.85,36.44,50.0,6.71
237,Kosh-Agach,0.0,RU,1524620206,47.0,49.99,88.66,49.26,3.85
238,Kirakira,80.0,SB,1524620206,97.0,-10.46,161.92,85.17,12.35
239,Arkhangelskoye,92.0,RU,1524620206,97.0,54.46,37.62,41.34,10.11
240,Sault Sainte Marie,90.0,CA,1524618000,56.0,46.49,-84.36,44.6,6.93
241,Butaritari,20.0,KI,1524620206,100.0,3.07,172.79,83.73,5.41
242,Tahe,0.0,CN,1524619980,48.0,52.34,124.71,62.94,7.58
243,Newport,40.0,US,1524617760,70.0,41.49,-71.31,51.8,11.41
244,Hasaki,75.0,JP,1524616440,93.0,35.73,140.83,66.2,11.41
245,Sinnamary,88.0,GF,1524620207,100.0,5.38,-52.96,77.97,7.87
246,Longyearbyen,20.0,SJ,1524617400,65.0,78.22,15.64,6.8,18.34
247,Riyadh,75.0,SA,1524614400,28.0,24.63,46.72,73.4,6.93
248,Hambantota,0.0,LK,1524620208,100.0,6.12,81.12,82.74,4.79
249,Burnie,68.0,AU,1524620208,100.0,-41.05,145.91,59.52,13.62
250,Te Anau,8.0,NZ,1524620208,75.0,-45.41,167.72,53.76,11.68
251,Padang,64.0,ID,1524620208,100.0,-0.92,100.36,82.2,3.06
252,Gamba,48.0,GA,1524620208,100.0,-2.72,10.02,77.97,2.28
253,Kormilovka,0.0,RU,1524616200,86.0,55.0,74.1,33.8,4.47
254,Portland,0.0,AU,1524620208,56.0,-33.35,149.98,68.07,2.89
255,Markivka,48.0,UA,1524620209,96.0,49.52,39.57,44.67,7.92
256,Bykovo,68.0,RU,1524620209,71.0,49.76,45.39,40.53,4.56
257,Mount Isa,0.0,AU,1524620209,22.0,-20.73,139.49,86.07,11.05
258,Juneau,90.0,US,1524617760,93.0,58.3,-134.42,44.6,10.29
259,Oistins,40.0,BB,1524618000,83.0,13.07,-59.53,77.0,11.41
260,Evensk,44.0,RU,1524620209,100.0,61.92,159.24,28.56,5.08
261,Griffith,44.0,AU,1524620210,54.0,-34.29,146.06,75.0,7.36
262,Port Blair,12.0,IN,1524620210,100.0,11.67,92.75,84.54,7.09
263,Mondlo,0.0,ZA,1524620210,76.0,-27.96,30.72,44.4,2.62
264,Meadow Lake,75.0,CA,1524614400,22.0,54.13,-108.44,66.2,19.46
265,Leningradskiy,68.0,RU,1524620210,100.0,69.38,178.42,7.95,9.66
266,Salalah,0.0,OM,1524620210,100.0,17.01,54.1,78.15,4.63
267,Santa Lucia,75.0,ES,1524618000,72.0,27.91,-15.54,64.4,13.87
268,Tiznit,100.0,MA,1524620210,100.0,29.7,-9.73,60.6,7.58
269,Bongor,8.0,TD,1524620211,69.0,10.28,15.37,79.05,10.6
270,Ruteng,12.0,ID,1524620211,80.0,-8.61,120.46,82.74,3.11
271,Mayo,90.0,CA,1524618000,25.0,63.59,-135.9,53.6,5.82
272,Kenai,90.0,US,1524617760,100.0,60.55,-151.26,42.8,9.17
273,Talnakh,92.0,RU,1524620211,94.0,69.49,88.39,22.26,8.88
274,Darnah,0.0,LY,1524620211,100.0,32.77,22.64,64.2,16.15
275,Svobodnyy,48.0,RU,1524620212,82.0,53.85,40.53,34.23,5.79
276,Noumea,92.0,NC,1524614400,83.0,-22.28,166.46,77.0,2.24
277,Freeport,75.0,US,1524618900,47.0,42.3,-89.62,68.0,4.7
278,Kamenka,64.0,RU,1524620212,74.0,53.19,44.05,34.23,7.54
279,Hofn,80.0,IS,1524620212,100.0,64.25,-15.21,36.21,7.36
280,Visnes,88.0,NO,1524619200,100.0,59.36,5.22,42.8,2.24
281,Alofi,75.0,NU,1524614400,66.0,-19.06,-169.92,84.2,16.11
282,Cap Malheureux,40.0,MU,1524618000,88.0,-19.98,57.61,75.2,3.36
283,Georgetown,80.0,SH,1524620213,100.0,-7.93,-14.42,79.32,12.39
284,Lambakin,75.0,PH,1524614400,74.0,14.75,120.87,86.0,4.7
285,Katherine,0.0,AU,1524614400,54.0,-14.47,132.26,82.4,6.93
286,Mackay,0.0,AU,1524620213,100.0,-21.15,149.2,77.88,9.04
287,Elbistan,0.0,TR,1524620214,71.0,38.2,37.19,36.03,3.06
288,Tete,0.0,MZ,1524620214,86.0,-16.16,33.59,63.66,4.07
289,Nizhniy Baskunchak,80.0,RU,1524620214,63.0,48.22,46.83,42.33,9.04
290,Laurel,1.0,US,1524620100,77.0,31.69,-89.13,66.2,3.36
291,Les Cayes,76.0,HT,1524620214,100.0,18.19,-73.75,79.32,11.79
292,Cockburn Town,80.0,BS,1524620214,100.0,24.03,-74.52,75.63,13.06
293,Grand Gaube,40.0,MU,1524618000,88.0,-20.01,57.66,75.2,3.36
294,Conde,100.0,BR,1524620215,100.0,-11.81,-37.61,75.45,5.79
295,Kabo,0.0,CF,1524620215,94.0,7.69,18.62,73.92,10.45
296,Paamiut,12.0,GL,1524620215,100.0,61.99,-49.67,28.74,11.16
297,Dudinka,76.0,RU,1524620215,99.0,69.41,86.18,21.36,4.63
298,Port Hawkesbury,1.0,CA,1524618000,45.0,45.62,-61.36,48.2,8.05
299,Ust-Nera,76.0,RU,1524620215,75.0,64.57,143.24,16.77,3.0
300,Bourail,92.0,NC,1524620215,100.0,-21.57,165.5,71.49,4.0
301,Morro Bay,1.0,US,1524617760,67.0,35.37,-120.85,69.8,10.29
302,Kudahuvadhoo,44.0,MV,1524620216,100.0,2.67,72.89,84.72,12.17
303,Santa Barbara,76.0,MX,1524620216,26.0,27.12,-108.72,76.53,2.21
304,Kaputa,0.0,ZM,1524620216,84.0,-8.47,29.66,57.36,3.62
305,Caruray,0.0,PH,1524620216,94.0,10.31,119.01,86.34,5.86
306,Nizhniy Kuranakh,64.0,RU,1524620216,48.0,58.84,125.49,26.04,9.44
307,Sistranda,75.0,NO,1524617400,86.0,63.73,8.83,41.0,25.28
308,Las Juntas,5.0,MX,1524617400,88.0,20.7,-105.25,77.0,10.29
309,Lorengau,8.0,PG,1524619918,100.0,-2.02,147.27,85.26,4.9
310,Grand-Bourg,0.0,GP,1524618000,83.0,15.88,-61.31,75.2,2.24
311,Mattru,8.0,SL,1524620217,97.0,7.62,-11.83,74.01,2.77
312,Stromness,12.0,GB,1524619200,93.0,58.97,-3.3,42.8,8.05
313,Smithers,20.0,CA,1524618000,64.0,54.78,-127.17,57.2,14.99
314,Poum,92.0,NC,1524620217,100.0,-20.23,164.02,74.91,8.93
315,Naranjo,75.0,CR,1524618000,64.0,10.1,-84.38,75.2,9.17
316,Ketchikan,90.0,US,1524617760,57.0,55.34,-131.65,51.8,6.93
317,Skelleftea,8.0,SE,1524619200,80.0,64.75,20.95,32.0,2.24
318,La Baule-Escoublac,90.0,FR,1524618000,93.0,47.28,-2.4,55.4,11.41
319,Puerto Escondido,12.0,MX,1524620218,100.0,15.86,-97.07,84.54,9.78
320,Marica,0.0,BR,1524618000,83.0,-22.92,-42.82,75.2,2.24
321,Wahpeton,1.0,US,1524618660,52.0,46.27,-96.61,48.2,12.75
322,Nabire,68.0,ID,1524620219,94.0,-3.36,135.5,76.17,2.73
323,Rockhampton,0.0,AU,1524614400,57.0,-23.38,150.51,80.6,2.24
324,Lagunas,8.0,PE,1524620219,81.0,-5.23,-75.68,77.88,4.0
325,Alta Floresta,76.0,BR,1524620219,92.0,-9.87,-56.08,75.0,2.73
326,Namibe,0.0,AO,1524620219,100.0,-15.19,12.15,78.06,7.76
327,Fonte Boa,92.0,BR,1524619921,99.0,-2.51,-66.09,73.74,2.77
328,Kahului,75.0,US,1524618780,74.0,20.89,-156.47,78.8,21.92
329,Broken Hill,0.0,AU,1524620220,51.0,-31.97,141.45,77.7,5.57
330,Pisco,0.0,PE,1524618000,77.0,-13.71,-76.2,69.8,11.41
331,Kavieng,12.0,PG,1524620220,100.0,-2.57,150.8,85.8,5.23
332,Utinga,0.0,BR,1524618000,83.0,-5.82,-35.4,77.0,5.82
333,Nikolayevskaya,0.0,RU,1524614400,61.0,43.22,44.21,46.4,2.24
334,Zhoucun,76.0,CN,1524620220,80.0,35.48,112.62,60.24,3.89
335,Shahr-e Kord,0.0,IR,1524614400,74.0,32.33,50.85,35.6,4.7
336,Souillac,40.0,MU,1524618000,88.0,-20.52,57.52,75.2,3.36
